sample_id;unit_no;unique_id;analysis_id
23359524;DT0380;18;ICP
23359524;DT0380;43;DEP
23359524;DT0380;42;F
23359524;DT0380;38;Visc
23359524;DT0380;29;Wat
23359524;DT0380;25;PQ
23359524;DT0380;15;FTIR
23373723;DT0379;18;ICP
23373723;DT0379;43;DEP
23373723;DT0379;26;ISO
23373723;DT0379;24;PCT
23373723;DT0379;38;Visc
23373723;DT0379;29;Wat
23373723;DT0379;25;PQ
23373723;DT0379;15;FTIR
23371822;DT0379;18;ICP
23371822;DT0379;43;DEP
23371822;DT0379;26;ISO
23371822;DT0379;24;PCT
23371822;DT0379;38;Visc
23371822;DT0379;29;Wat
23371822;DT0379;25;PQ
23371822;DT0379;15;FTIR
23371807;DT0379;18;ICP
23371807;DT0379;43;DEP
23371807;DT0379;26;ISO
23371807;DT0379;24;PCT
23371807;DT0379;38;Visc
23371807;DT0379;29;Wat
23371807;DT0379;25;PQ
23371807;DT0379;15;FTIR
23373717;DT0379;18;ICP
23373717;DT0379;43;DEP
23373717;DT0379;26;ISO
23373717;DT0379;24;PCT
23373717;DT0379;38;Visc
23373717;DT0379;29;Wat
23373717;DT0379;25;PQ
23373717;DT0379;15;FTIR
23371806;DT0379;18;ICP
23371806;DT0379;43;DEP
23371806;DT0379;26;ISO
23371806;DT0379;24;PCT
23371806;DT0379;38;Visc
23371806;DT0379;29;Wat
23371806;DT0379;25;PQ
23371806;DT0379;15;FTIR
23371821;DT0379;18;ICP
23371821;DT0379;43;DEP
23371821;DT0379;26;ISO
23371821;DT0379;24;PCT
23371821;DT0379;38;Visc
23371821;DT0379;29;Wat
23371821;DT0379;25;PQ
23371821;DT0379;15;FTIR
23372214;DT0379;18;ICP
23372214;DT0379;43;DEP
23372214;DT0379;42;F
23372214;DT0379;38;Visc
23372214;DT0379;29;Wat
23372214;DT0379;25;PQ
23372214;DT0379;15;FTIR
23372223;DT0379;18;ICP
23372223;DT0379;43;DEP
23372223;DT0379;42;F
23372223;DT0379;38;Visc
23372223;DT0379;29;Wat
23372223;DT0379;25;PQ
23372223;DT0379;15;FTIR
23372222;DT0381;18;ICP
23372222;DT0381;43;DEP
23372222;DT0381;42;F
23372222;DT0381;38;Visc
23372222;DT0381;29;Wat
23372222;DT0381;25;PQ
23372222;DT0381;15;FTIR
23384719;DT0579;18;ICP
23384719;DT0579;43;DEP
23384719;DT0579;26;ISO
23384719;DT0579;24;PCT
23384719;DT0579;38;Visc
23384719;DT0579;29;Wat
23384719;DT0579;25;PQ
23384719;DT0579;15;FTIR
23384720;DT0579;18;ICP
23384720;DT0579;43;DEP
23384720;DT0579;26;ISO
23384720;DT0579;24;PCT
23384720;DT0579;38;Visc
23384720;DT0579;29;Wat
23384720;DT0579;25;PQ
23384720;DT0579;15;FTIR
23384505;DT0579;18;ICP
23384505;DT0579;43;DEP
23384505;DT0579;26;ISO
23384505;DT0579;24;PCT
23384505;DT0579;38;Visc
23384505;DT0579;29;Wat
23384505;DT0579;25;PQ
23384505;DT0579;15;FTIR
23384512;DT0579;18;ICP
23384512;DT0579;43;DEP
23384512;DT0579;26;ISO
23384512;DT0579;24;PCT
23384512;DT0579;38;Visc
23384512;DT0579;29;Wat
23384512;DT0579;25;PQ
23384512;DT0579;15;FTIR
23372224;DT0579;18;ICP
23372224;DT0579;43;DEP
23372224;DT0579;42;F
23372224;DT0579;38;Visc
23372224;DT0579;29;Wat
23372224;DT0579;25;PQ
23372224;DT0579;15;FTIR
23372218;EX0236;18;ICP
23372218;EX0236;43;DEP
23372218;EX0236;42;F
23372218;EX0236;38;Visc
23372218;EX0236;29;Wat
23372218;EX0236;25;PQ
23372218;EX0236;15;FTIR
23372216;EX0236;18;ICP
23372216;EX0236;43;DEP
23372216;EX0236;42;F
23372216;EX0236;38;Visc
23372216;EX0236;29;Wat
23372216;EX0236;25;PQ
23372216;EX0236;15;FTIR
23372221;EX0236;18;ICP
23372221;EX0236;43;DEP
23372221;EX0236;42;F
23372221;EX0236;38;Visc
23372221;EX0236;29;Wat
23372221;EX0236;25;PQ
23372221;EX0236;15;FTIR
23372215;EX0236;18;ICP
23372215;EX0236;43;DEP
23372215;EX0236;42;F
23372215;EX0236;38;Visc
23372215;EX0236;29;Wat
23372215;EX0236;25;PQ
23372215;EX0236;15;FTIR
23361032;EX0237;18;ICP
23361032;EX0237;43;DEP
23361032;EX0237;26;ISO
23361032;EX0237;24;PCT
23361032;EX0237;38;Visc
23361032;EX0237;29;Wat
23361032;EX0237;25;PQ
23361032;EX0237;15;FTIR
23361029;EX0237;18;ICP
23361029;EX0237;43;DEP
23361029;EX0237;26;ISO
23361029;EX0237;24;PCT
23361029;EX0237;38;Visc
23361029;EX0237;29;Wat
23361029;EX0237;25;PQ
23361029;EX0237;15;FTIR
23361024;EX0237;18;ICP
23361024;EX0237;43;DEP
23361024;EX0237;26;ISO
23361024;EX0237;24;PCT
23361024;EX0237;38;Visc
23361024;EX0237;29;Wat
23361024;EX0237;25;PQ
23361024;EX0237;15;FTIR
23359401;EX0237;18;ICP
23359401;EX0237;43;DEP
23359401;EX0237;26;ISO
23359401;EX0237;24;PCT
23359401;EX0237;38;Visc
23359401;EX0237;29;Wat
23359401;EX0237;25;PQ
23359401;EX0237;15;FTIR
23361033;EX0237;18;ICP
23361033;EX0237;43;DEP
23361033;EX0237;26;ISO
23361033;EX0237;24;PCT
23361033;EX0237;38;Visc
23361033;EX0237;29;Wat
23361033;EX0237;25;PQ
23361033;EX0237;15;FTIR
23361031;EX0237;18;ICP
23361031;EX0237;43;DEP
23361031;EX0237;26;ISO
23361031;EX0237;24;PCT
23361031;EX0237;38;Visc
23361031;EX0237;29;Wat
23361031;EX0237;25;PQ
23361031;EX0237;15;FTIR
23361028;EX0237;18;ICP
23361028;EX0237;43;DEP
23361028;EX0237;26;ISO
23361028;EX0237;24;PCT
23361028;EX0237;38;Visc
23361028;EX0237;29;Wat
23361028;EX0237;25;PQ
23361028;EX0237;15;FTIR
23361025;EX0237;18;ICP
23361025;EX0237;43;DEP
23361025;EX0237;26;ISO
23361025;EX0237;24;PCT
23361025;EX0237;38;Visc
23361025;EX0237;29;Wat
23361025;EX0237;25;PQ
23361025;EX0237;15;FTIR
23361027;EX0237;18;ICP
23361027;EX0237;43;DEP
23361027;EX0237;26;ISO
23361027;EX0237;24;PCT
23361027;EX0237;38;Visc
23361027;EX0237;29;Wat
23361027;EX0237;25;PQ
23361027;EX0237;15;FTIR
23361030;EX0237;18;ICP
23361030;EX0237;43;DEP
23361030;EX0237;26;ISO
23361030;EX0237;24;PCT
23361030;EX0237;38;Visc
23361030;EX0237;29;Wat
23361030;EX0237;25;PQ
23361030;EX0237;15;FTIR
23361026;EX0237;18;ICP
23361026;EX0237;43;DEP
23361026;EX0237;26;ISO
23361026;EX0237;24;PCT
23361026;EX0237;38;Visc
23361026;EX0237;29;Wat
23361026;EX0237;25;PQ
23361026;EX0237;15;FTIR
23360338;EX0237;18;ICP
23360338;EX0237;41;IC
23360338;EX0237;8;Cond
23360338;EX0237;17;Gly
23360338;EX0237;23;Odr
23360338;EX0237;28;pH
23360338;EX0237;30;PPT
23360338;EX0237;32;Sol
23360338;EX0237;37;TH
23360336;EX0237;18;ICP
23360336;EX0237;41;IC
23360336;EX0237;8;Cond
23360336;EX0237;17;Gly
23360336;EX0237;23;Odr
23360336;EX0237;28;pH
23360336;EX0237;30;PPT
23360336;EX0237;32;Sol
23360336;EX0237;37;TH
23359519;EX0237;18;ICP
23359519;EX0237;43;DEP
23359519;EX0237;42;F
23359519;EX0237;38;Visc
23359519;EX0237;29;Wat
23359519;EX0237;25;PQ
23359519;EX0237;15;FTIR
23359520;EX0237;18;ICP
23359520;EX0237;43;DEP
23359520;EX0237;42;F
23359520;EX0237;38;Visc
23359520;EX0237;29;Wat
23359520;EX0237;25;PQ
23359520;EX0237;15;FTIR
23359526;EX0237;18;ICP
23359526;EX0237;43;DEP
23359526;EX0237;42;F
23359526;EX0237;38;Visc
23359526;EX0237;29;Wat
23359526;EX0237;25;PQ
23359526;EX0237;15;FTIR
23359525;EX0237;18;ICP
23359525;EX0237;43;DEP
23359525;EX0237;42;F
23359525;EX0237;38;Visc
23359525;EX0237;29;Wat
23359525;EX0237;25;PQ
23359525;EX0237;15;FTIR
23359529;DT0563;18;ICP
23359529;DT0563;43;DEP
23359529;DT0563;42;F
23359529;DT0563;38;Visc
23359529;DT0563;29;Wat
23359529;DT0563;25;PQ
23359529;DT0563;15;FTIR
23384504;DT0700;18;ICP
23384504;DT0700;43;DEP
23384504;DT0700;26;ISO
23384504;DT0700;24;PCT
23384504;DT0700;38;Visc
23384504;DT0700;29;Wat
23384504;DT0700;25;PQ
23384504;DT0700;15;FTIR
23384925;DT0700;18;ICP
23384925;DT0700;43;DEP
23384925;DT0700;42;F
23384925;DT0700;38;Visc
23384925;DT0700;29;Wat
23384925;DT0700;25;PQ
23384925;DT0700;15;FTIR
23384722;DT0700;18;ICP
23384722;DT0700;43;DEP
23384722;DT0700;26;ISO
23384722;DT0700;24;PCT
23384722;DT0700;38;Visc
23384722;DT0700;29;Wat
23384722;DT0700;25;PQ
23384721;DT0700;18;ICP
23384721;DT0700;43;DEP
23384721;DT0700;26;ISO
23384721;DT0700;24;PCT
23384721;DT0700;38;Visc
23384721;DT0700;29;Wat
23384721;DT0700;25;PQ
23372220;DT0701;18;ICP
23372220;DT0701;43;DEP
23372220;DT0701;42;F
23372220;DT0701;38;Visc
23372220;DT0701;29;Wat
23372220;DT0701;25;PQ
23372220;DT0701;15;FTIR
23384718;DT0701;18;ICP
23384718;DT0701;43;DEP
23384718;DT0701;26;ISO
23384718;DT0701;24;PCT
23384718;DT0701;38;Visc
23384718;DT0701;29;Wat
23384718;DT0701;25;PQ
23371808;DT0702;18;ICP
23371808;DT0702;43;DEP
23371808;DT0702;26;ISO
23371808;DT0702;24;PCT
23371808;DT0702;38;Visc
23371808;DT0702;29;Wat
23371808;DT0702;25;PQ
23371808;DT0702;15;FTIR
23384510;DT0702;18;ICP
23384510;DT0702;43;DEP
23384510;DT0702;26;ISO
23384510;DT0702;24;PCT
23384510;DT0702;38;Visc
23384510;DT0702;29;Wat
23384510;DT0702;25;PQ
23384510;DT0702;15;FTIR
23371826;DT0702;18;ICP
23371826;DT0702;43;DEP
23371826;DT0702;26;ISO
23371826;DT0702;24;PCT
23371826;DT0702;38;Visc
23371826;DT0702;29;Wat
23371826;DT0702;25;PQ
23371825;DT0702;18;ICP
23371825;DT0702;43;DEP
23371825;DT0702;26;ISO
23371825;DT0702;24;PCT
23371825;DT0702;38;Visc
23371825;DT0702;29;Wat
23371825;DT0702;25;PQ
23358925;WT0067;18;ICP
23358925;WT0067;43;DEP
23358925;WT0067;26;ISO
23358925;WT0067;24;PCT
23358925;WT0067;38;Visc
23358925;WT0067;29;Wat
23358925;WT0067;25;PQ
23358925;WT0067;15;FTIR
23361023;WT0067;18;ICP
23361023;WT0067;43;DEP
23361023;WT0067;26;ISO
23361023;WT0067;24;PCT
23361023;WT0067;38;Visc
23361023;WT0067;29;Wat
23361023;WT0067;25;PQ
23361023;WT0067;15;FTIR
23361004;WT0067;18;ICP
23361004;WT0067;43;DEP
23361004;WT0067;26;ISO
23361004;WT0067;24;PCT
23361004;WT0067;38;Visc
23361004;WT0067;29;Wat
23361004;WT0067;25;PQ
23361004;WT0067;15;FTIR
23359532;WT0067;18;ICP
23359532;WT0067;43;DEP
23359532;WT0067;42;F
23359532;WT0067;38;Visc
23359532;WT0067;29;Wat
23359532;WT0067;25;PQ
23359532;WT0067;15;FTIR
23358911;WT0067;18;ICP
23358911;WT0067;43;DEP
23358911;WT0067;26;ISO
23358911;WT0067;24;PCT
23358911;WT0067;38;Visc
23358911;WT0067;29;Wat
23358911;WT0067;25;PQ
23358911;WT0067;15;FTIR
23361001;WT0067;18;ICP
23361001;WT0067;43;DEP
23361001;WT0067;26;ISO
23361001;WT0067;24;PCT
23361001;WT0067;38;Visc
23361001;WT0067;29;Wat
23361001;WT0067;25;PQ
23361001;WT0067;15;FTIR
23358926;WT0067;18;ICP
23358926;WT0067;43;DEP
23358926;WT0067;26;ISO
23358926;WT0067;24;PCT
23358926;WT0067;38;Visc
23358926;WT0067;29;Wat
23358926;WT0067;25;PQ
23358926;WT0067;15;FTIR
23360329;WT0067;18;ICP
23360329;WT0067;41;IC
23360329;WT0067;8;Cond
23360329;WT0067;17;Gly
23360329;WT0067;23;Odr
23360329;WT0067;28;pH
23360329;WT0067;30;PPT
23360329;WT0067;32;Sol
23360329;WT0067;37;TH
23360702;IT0217;18;ICP
23360702;IT0217;43;DEP
23360702;IT0217;42;F
23360702;IT0217;38;Visc
23360702;IT0217;29;Wat
23360702;IT0217;25;PQ
23360702;IT0217;15;FTIR
23361006;DT0714;18;ICP
23361006;DT0714;43;DEP
23361006;DT0714;26;ISO
23361006;DT0714;24;PCT
23361006;DT0714;38;Visc
23361006;DT0714;29;Wat
23361006;DT0714;25;PQ
23361006;DT0714;15;FTIR
23360701;DT0714;18;ICP
23360701;DT0714;43;DEP
23360701;DT0714;42;F
23360701;DT0714;38;Visc
23360701;DT0714;29;Wat
23360701;DT0714;25;PQ
23360701;DT0714;15;FTIR
23359418;DT0714;18;ICP
23359418;DT0714;43;DEP
23359418;DT0714;26;ISO
23359418;DT0714;24;PCT
23359418;DT0714;38;Visc
23359418;DT0714;29;Wat
23359418;DT0714;25;PQ
23359417;DT0714;18;ICP
23359417;DT0714;43;DEP
23359417;DT0714;26;ISO
23359417;DT0714;24;PCT
23359417;DT0714;38;Visc
23359417;DT0714;29;Wat
23359417;DT0714;25;PQ
23371810;DT0713;18;ICP
23371810;DT0713;43;DEP
23371810;DT0713;26;ISO
23371810;DT0713;24;PCT
23371810;DT0713;38;Visc
23371810;DT0713;29;Wat
23371810;DT0713;25;PQ
23371810;DT0713;15;FTIR
23359531;DT0713;18;ICP
23359531;DT0713;43;DEP
23359531;DT0713;42;F
23359531;DT0713;38;Visc
23359531;DT0713;29;Wat
23359531;DT0713;25;PQ
23359531;DT0713;15;FTIR
23372225;DT0713;18;ICP
23372225;DT0713;43;DEP
23372225;DT0713;42;F
23372225;DT0713;38;Visc
23372225;DT0713;29;Wat
23372225;DT0713;25;PQ
23372225;DT0713;15;FTIR
23371824;DT0713;18;ICP
23371824;DT0713;43;DEP
23371824;DT0713;26;ISO
23371824;DT0713;24;PCT
23371824;DT0713;38;Visc
23371824;DT0713;29;Wat
23371824;DT0713;25;PQ
23371823;DT0713;18;ICP
23371823;DT0713;43;DEP
23371823;DT0713;26;ISO
23371823;DT0713;24;PCT
23371823;DT0713;38;Visc
23371823;DT0713;29;Wat
23371823;DT0713;25;PQ
23359528;DT0571;18;ICP
23359528;DT0571;43;DEP
23359528;DT0571;42;F
23359528;DT0571;38;Visc
23359528;DT0571;29;Wat
23359528;DT0571;25;PQ
23359528;DT0571;15;FTIR
23384736;EX0798;18;ICP
23384736;EX0798;43;DEP
23384736;EX0798;26;ISO
23384736;EX0798;24;PCT
23384736;EX0798;38;Visc
23384736;EX0798;29;Wat
23384736;EX0798;25;PQ
23384736;EX0798;15;FTIR
23384734;EX0798;18;ICP
23384734;EX0798;43;DEP
23384734;EX0798;26;ISO
23384734;EX0798;24;PCT
23384734;EX0798;38;Visc
23384734;EX0798;29;Wat
23384734;EX0798;25;PQ
23384734;EX0798;15;FTIR
23384729;EX0798;18;ICP
23384729;EX0798;43;DEP
23384729;EX0798;26;ISO
23384729;EX0798;24;PCT
23384729;EX0798;38;Visc
23384729;EX0798;29;Wat
23384729;EX0798;25;PQ
23384729;EX0798;15;FTIR
23384509;EX0798;18;ICP
23384509;EX0798;43;DEP
23384509;EX0798;26;ISO
23384509;EX0798;24;PCT
23384509;EX0798;38;Visc
23384509;EX0798;29;Wat
23384509;EX0798;25;PQ
23384509;EX0798;15;FTIR
23384738;EX0798;18;ICP
23384738;EX0798;43;DEP
23384738;EX0798;26;ISO
23384738;EX0798;24;PCT
23384738;EX0798;38;Visc
23384738;EX0798;29;Wat
23384738;EX0798;25;PQ
23384738;EX0798;15;FTIR
23384733;EX0798;18;ICP
23384733;EX0798;43;DEP
23384733;EX0798;26;ISO
23384733;EX0798;24;PCT
23384733;EX0798;38;Visc
23384733;EX0798;29;Wat
23384733;EX0798;25;PQ
23384733;EX0798;15;FTIR
23384735;EX0798;18;ICP
23384735;EX0798;43;DEP
23384735;EX0798;26;ISO
23384735;EX0798;24;PCT
23384735;EX0798;38;Visc
23384735;EX0798;29;Wat
23384735;EX0798;25;PQ
23384735;EX0798;15;FTIR
23384730;EX0798;18;ICP
23384730;EX0798;43;DEP
23384730;EX0798;26;ISO
23384730;EX0798;24;PCT
23384730;EX0798;38;Visc
23384730;EX0798;29;Wat
23384730;EX0798;25;PQ
23384730;EX0798;15;FTIR
23384732;EX0798;18;ICP
23384732;EX0798;43;DEP
23384732;EX0798;26;ISO
23384732;EX0798;24;PCT
23384732;EX0798;38;Visc
23384732;EX0798;29;Wat
23384732;EX0798;25;PQ
23384732;EX0798;15;FTIR
23384737;EX0798;18;ICP
23384737;EX0798;43;DEP
23384737;EX0798;26;ISO
23384737;EX0798;24;PCT
23384737;EX0798;38;Visc
23384737;EX0798;29;Wat
23384737;EX0798;25;PQ
23384737;EX0798;15;FTIR
23384731;EX0798;18;ICP
23384731;EX0798;43;DEP
23384731;EX0798;26;ISO
23384731;EX0798;24;PCT
23384731;EX0798;38;Visc
23384731;EX0798;29;Wat
23384731;EX0798;25;PQ
23384731;EX0798;15;FTIR
23384739;EX0798;18;ICP
23384739;EX0798;43;DEP
23384739;EX0798;26;ISO
23384739;EX0798;24;PCT
23384739;EX0798;38;Visc
23384739;EX0798;29;Wat
23384739;EX0798;25;PQ
23384739;EX0798;15;FTIR
23384740;EX0798;18;ICP
23384740;EX0798;43;DEP
23384740;EX0798;26;ISO
23384740;EX0798;24;PCT
23384740;EX0798;38;Visc
23384740;EX0798;29;Wat
23384740;EX0798;25;PQ
23384740;EX0798;15;FTIR
23384931;EX0798;18;ICP
23384931;EX0798;43;DEP
23384931;EX0798;42;F
23384931;EX0798;38;Visc
23384931;EX0798;29;Wat
23384931;EX0798;25;PQ
23384931;EX0798;15;FTIR
23359530;DZ0394;18;ICP
23359530;DZ0394;43;DEP
23359530;DZ0394;42;F
23359530;DZ0394;38;Visc
23359530;DZ0394;29;Wat
23359530;DZ0394;25;PQ
23359530;DZ0394;15;FTIR
23372217;DZ0780;18;ICP
23372217;DZ0780;43;DEP
23372217;DZ0780;42;F
23372217;DZ0780;38;Visc
23372217;DZ0780;29;Wat
23372217;DZ0780;25;PQ
23372217;DZ0780;15;FTIR
23371809;DZ0781;18;ICP
23371809;DZ0781;43;DEP
23371809;DZ0781;26;ISO
23371809;DZ0781;24;PCT
23371809;DZ0781;38;Visc
23371809;DZ0781;29;Wat
23371809;DZ0781;25;PQ
23371809;DZ0781;15;FTIR
23372119;DZ0781;18;ICP
23372119;DZ0781;43;DEP
23372119;DZ0781;26;ISO
23372119;DZ0781;24;PCT
23372119;DZ0781;38;Visc
23372119;DZ0781;29;Wat
23372119;DZ0781;25;PQ
23372119;DZ0781;15;FTIR
23371814;DZ0781;18;ICP
23371814;DZ0781;43;DEP
23371814;DZ0781;26;ISO
23371814;DZ0781;24;PCT
23371814;DZ0781;38;Visc
23371814;DZ0781;29;Wat
23371814;DZ0781;25;PQ
23371814;DZ0781;15;FTIR
23372118;DZ0781;18;ICP
23372118;DZ0781;43;DEP
23372118;DZ0781;26;ISO
23372118;DZ0781;24;PCT
23372118;DZ0781;38;Visc
23372118;DZ0781;29;Wat
23372118;DZ0781;25;PQ
23372118;DZ0781;15;FTIR
23374101;DZ0781;18;ICP
23374101;DZ0781;43;DEP
23374101;DZ0781;42;F
23374101;DZ0781;38;Visc
23374101;DZ0781;29;Wat
23374101;DZ0781;25;PQ
23374101;DZ0781;15;FTIR
23360335;DZ0783;18;ICP
23360335;DZ0783;41;IC
23360335;DZ0783;17;Gly
23360335;DZ0783;23;Odr
23360335;DZ0783;30;PPT
23360335;DZ0783;32;Sol
23360335;DZ0783;37;TH
23361002;DZ0783;18;ICP
23361002;DZ0783;43;DEP
23361002;DZ0783;26;ISO
23361002;DZ0783;24;PCT
23361002;DZ0783;38;Visc
23361002;DZ0783;29;Wat
23361002;DZ0783;25;PQ
23361002;DZ0783;15;FTIR
23359420;DZ0783;18;ICP
23359420;DZ0783;43;DEP
23359420;DZ0783;26;ISO
23359420;DZ0783;24;PCT
23359420;DZ0783;38;Visc
23359420;DZ0783;29;Wat
23359420;DZ0783;25;PQ
23359420;DZ0783;15;FTIR
23359413;DZ0783;18;ICP
23359413;DZ0783;43;DEP
23359413;DZ0783;26;ISO
23359413;DZ0783;24;PCT
23359413;DZ0783;38;Visc
23359413;DZ0783;29;Wat
23359413;DZ0783;25;PQ
23359413;DZ0783;15;FTIR
23359419;DZ0783;18;ICP
23359419;DZ0783;43;DEP
23359419;DZ0783;26;ISO
23359419;DZ0783;24;PCT
23359419;DZ0783;38;Visc
23359419;DZ0783;29;Wat
23359419;DZ0783;25;PQ
23359419;DZ0783;15;FTIR
23359523;DZ0783;18;ICP
23359523;DZ0783;43;DEP
23359523;DZ0783;42;F
23359523;DZ0783;38;Visc
23359523;DZ0783;29;Wat
23359523;DZ0783;25;PQ
23359523;DZ0783;15;FTIR
23373510;DZ0980;18;ICP
23373510;DZ0980;43;DEP
23373510;DZ0980;42;F
23373510;DZ0980;38;Visc
23373510;DZ0980;29;Wat
23373510;DZ0980;25;PQ
23373510;DZ0980;15;FTIR
23359527;GR0000;18;ICP
23359527;GR0000;43;DEP
23359527;GR0000;42;F
23359527;GR0000;38;Visc
23359527;GR0000;29;Wat
23359527;GR0000;25;PQ
23359527;GR0000;15;FTIR
23384923;GR0001;18;ICP
23384923;GR0001;43;DEP
23384923;GR0001;42;F
23384923;GR0001;38;Visc
23384923;GR0001;29;Wat
23384923;GR0001;25;PQ
23384923;GR0001;15;FTIR
23372219;DZ0449;18;ICP
23372219;DZ0449;43;DEP
23372219;DZ0449;42;F
23372219;DZ0449;38;Visc
23372219;DZ0449;29;Wat
23372219;DZ0449;25;PQ
23372219;DZ0449;15;FTIR
23359321;DT0602;18;ICP
23359321;DT0602;43;DEP
23359321;DT0602;38;Visc
23359321;DT0602;29;Wat
23359321;DT0602;25;PQ
