customer_name;customer_id;jobsite;region;unit_no;serial_no_equip;make_name;model_name;market_status;rego_no;compartment_id;compartment_name;sump_capacity;fluid_change_interval;fluid_sample_interval;sample_id;date_sampled;date_received;date_first_processed;date_last_processed;smu;fmu;cmu;sample_type;oil_type;oil_grade;coolant_type;fuel_type;fluid_added;evaluation;interpreter;interpretation;confirmed;filter_changed;fluid_changed;actioned;resolved;actions_taken;debris_stage;sampled_site;jobno;analysis_ids
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0380;2BW00556;CATERPILLAR;789C;CAT;;101;ENGINE PRIMARY - DIESEL;291;500;250;23359524;2026-06-19T00:00:00.000000+10:00;2026-06-25T11:37:47.733000+10:00;2026-06-29T13:39:22.530000+10:00;2026-06-29T13:39:22.517000+10:00;44060;153;44060;Oil;TOTAL RUBIA WORKS 4000;15W40; Cummins Tec Pgxl(Update to PGXL HD);;;A;AnalyticA;All Test Results appear to be Normal. Continue Sampling at the Recommended Interval.;N;N;N;N;N;;;Blackwater Mine;;ICP|DEP|F|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0379;2BW00897;CATERPILLAR;789C;CAT;;481;WHEEL HUB LEFT;22;500;500;23373723;2026-06-24T00:00:00.000000+10:00;2026-06-29T12:40:56.330000+10:00;2026-07-02T13:59:44.770000+10:00;2026-07-02T13:59:44.767000+10:00;85725;576;85725;Oil;TOTAL DYNATRANS ACX;60;;;;C;Richard Hamm;"Viscosity is consistent with oil type indicated. Iron is high. PQ index (Ferrous debris) is elevated and a medium amount of magnetic metal was observed. &lt;strong&gt;Suggested action: Closely Monitor Compartment.&lt;/strong&gt; Inspect the magnetic plug for abnormal debris. Consider checking bearing for excessive wear/movement. Resample at 250 hours to further monitor.";N;N;Y;N;N;;;Blackwater Mine;;ICP|DEP|ISO|PCT|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0379;2BW00897;CATERPILLAR;789C;CAT;;444;DIFFERENTIAL REAR;583;0;500;23371822;2026-06-24T00:00:00.000000+10:00;2026-06-29T10:25:40.947000+10:00;2026-06-30T21:36:13.590000+10:00;2026-06-30T21:36:13.587000+10:00;85725;1602;85725;Oil;TOTAL DYNATRANS ACX;60;;;;A;AnalyticA;All Test Results appear to be Normal. Continue Sampling at the Recommended Interval.;N;N;N;N;N;;;Blackwater Mine;;ICP|DEP|ISO|PCT|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0379;2BW00897;CATERPILLAR;789C;CAT;;505;HYDRAULIC SYSTEM;909;2000;500;23371807;2026-06-24T00:00:00.000000+10:00;2026-06-29T10:29:46.240000+10:00;2026-06-30T21:33:49.850000+10:00;2026-06-30T21:33:49.847000+10:00;85725;1602;85725;Oil;TOTAL DYNATRANS ACX;30;;;;A;AnalyticA;All Test Results appear to be Normal. Continue Sampling at the Recommended Interval.;N;N;N;N;N;;;Blackwater Mine;;ICP|DEP|ISO|PCT|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0379;2BW00897;CATERPILLAR;789C;CAT;;313;TRANSMISSION;224;1000;500;23373717;2026-06-24T00:00:00.000000+10:00;2026-06-29T12:40:29.677000+10:00;2026-07-01T12:32:07.157000+10:00;2026-07-01T12:32:07.157000+10:00;85725;500;85459;Oil;TOTAL DYNATRANS ACX;30;;;0.0;A;AnalyticA;All Test Results appear to be Normal. Continue Sampling at the Recommended Interval.;N;N;N;N;N;;;Blackwater Mine;;ICP|DEP|ISO|PCT|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0379;2BW00897;CATERPILLAR;789C;CAT;;492;STEERING SYSTEM;188;2000;500;23371806;2026-06-24T00:00:00.000000+10:00;2026-06-29T10:29:48.267000+10:00;2026-06-30T21:33:34.640000+10:00;2026-06-30T21:33:34.633000+10:00;85725;1602;85725;Oil;TOTAL DYNATRANS ACX;30;;;;A;AnalyticA;All Test Results appear to be Normal. Continue Sampling at the Recommended Interval.;N;N;N;N;N;;;Blackwater Mine;;ICP|DEP|ISO|PCT|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0379;2BW00897;CATERPILLAR;789C;CAT;;482;WHEEL HUB RIGHT;22;500;500;23371821;2026-06-24T00:00:00.000000+10:00;2026-06-29T10:25:42.450000+10:00;2026-07-02T09:44:32.623000+10:00;2026-07-02T09:44:32.620000+10:00;85725;576;85725;Oil;TOTAL DYNATRANS ACX;60;;;;B;Anthony Marshall;"Viscosity is consistent with oil type indicated. Nickel is high. Other wear levels in the 5 micron range appear ok. Other test results appear acceptable. &lt;strong&gt;Suggested Action:&lt;/strong&gt; Inspect the magnetic plug for abnormal debris. Visually inspect duo-cone seal for damage. Continue sampling at the recommended interval.";N;N;N;N;N;;;Blackwater Mine;;ICP|DEP|ISO|PCT|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0379;2BW00897;CATERPILLAR;789C;CAT;;101;ENGINE PRIMARY - DIESEL;291;500;500;23372214;2026-06-24T00:00:00.000000+10:00;2026-06-29T11:02:54.113000+10:00;2026-06-30T21:31:34.057000+10:00;2026-06-30T21:31:34.053000+10:00;85725;576;13453;Oil;TOTAL RUBIA WORKS 4000;15W40;CUMMINS : PGXL Vital (Red);;;A;AnalyticA;All Test Results appear to be Normal. Continue Sampling at the Recommended Interval.;N;N;N;N;N;;;Blackwater Mine;;ICP|DEP|F|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0379;2BW00897;CATERPILLAR;789C;CAT;;101;ENGINE PRIMARY - DIESEL;291;500;500;23372223;2026-06-21T00:00:00.000000+10:00;2026-06-29T11:02:50.583000+10:00;2026-07-02T09:47:55.570000+10:00;2026-07-02T09:47:55.550000+10:00;85692;543;13420;Oil;TOTAL RUBIA WORKS 4000;15W40;CUMMINS : PGXL Vital (Red);;;A;Doris Lau;"All test results appear acceptable. &lt;strong&gt;Suggested Action:&lt;/strong&gt; Continue sampling at the recommended interval.";N;N;Y;N;N;;;Blackwater Mine;;ICP|DEP|F|Visc|Wat|PQ|FTIR
BUMA AUSTRALIA PTY LTD;2054221;Blackwater Mine;Rockhampton;DT0381;2BW00514;CATERPILLAR;789C;CAT;;101;ENGINE PRIMARY - DIESEL;224;500;500;23372222;2026-06-22T00:00:00.000000+10:00;2026-06-29T11:02:49.073000+10:00;2026-06-30T21:33:04.780000+10:00;2026-06-30T21:33:04.760000+10:00;85233;287;86937;Oil;TOTAL RUBIA WORKS 4000;15W40; Cummins Tec Pgxl(Update to PGXL HD);;;A;AnalyticA;All Test Results appear to be Normal. Continue Sampling at the Recommended Interval.;N;N;N;N;N;;;Blackwater Mine;;ICP|DEP|F|Visc|Wat|PQ|FTIR
