Code;DamageGroupCode;Name;Description;IsActive;CreatedAt;CreatedBy;ModifiedAt;ModifiedBy
DC0001;DG0001;External;Kebocoran Di Sistem Eksternal (Test);1;2025-09-25 19:48:56.680;Manual Migration;;
DC0002;DG0001;Internal;Kebocoran Di Sistem Internal;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0003;DG0002;Erratic Scale;Kesalahan Pembacaan Skala Dari Suatu Sensor;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0004;DG0002;Expired;Schedule Inspeksi Terlewat;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0005;DG0003;Bent;Bengkok;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0006;DG0003;Broken;Hancur Tak Berbentuk;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0007;DG0003;Burned Out;Terbakar Hangus;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0008;DG0003;Cavitation;Permukaan Material Berlubang Atau Rusak Karena Pressure Fluida;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0009;DG0003;Crack;Retak;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0010;DG0003;Fatigue;Material Fatigue Atau Rapuh;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0011;DG0003;Fracture;Patah Terbagi Dua;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0012;DG0003;Missing;Hilang;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0013;DG0003;Punctured;Sobek Atau Terkoyak;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0014;DG0003;Scratch;Goresan;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0015;DG0003;Unlubricated;Kondisi yang tidak terlumasi;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0016;DG0003;Unstandard;Kondisi yang tidak sesuai dengan seharusnya;1;2025-09-25 19:48:56.680;Manual Migration;;
DC0017;DG0003;Worn Out;Keausan;1;2025-09-25 19:48:56.680;Manual Migration;;
