name_id,type_id,site_id,type_desc,first_value,second_value,type_status,,,,,,
TARGET_MANDATORY,UIQ,2001,5,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,FQ,2001,75,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,UIQ,2002,2,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,FQ,2002,30,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,UIQ,2005,2,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,FQ,2005,30,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,UIQ,2008,1,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,FQ,2008,15,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,UIQ,2009,9,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,FQ,2009,135,DAILY,,OB LOADER,,,,,,
TARGET_MANDATORY,UIQ,2001,12,DAILY,,OB HAULER,,,,,,
TARGET_MANDATORY,FQ,2001,120,DAILY,,OB HAULER,,,,,,
TARGET_MANDATORY,UIQ,2002,4,DAILY,,OB HAULER,,,,,,
TARGET_MANDATORY,FQ,2002,40,DAILY,,OB HAULER,,,,,,
TARGET_MANDATORY,UIQ,2008,2,DAILY,,OB HAULER,,,,,,
TARGET_MANDATORY,FQ,2008,20,DAILY,,OB HAULER,,,,,,
TARGET_MANDATORY,UIQ,2009,29,DAILY,,OB HAULER,,,,,,
TARGET_MANDATORY,FQ,2009,290,DAILY,,OB HAULER,,,,,,
TARGET_MANDATORY,UIQ,2001,2,DAILY,,COAL TRANSPORT,,,,,,
TARGET_MANDATORY,FQ,2001,20,DAILY,,COAL TRANSPORT,,,,,,
TARGET_MANDATORY,UIQ,2002,2,DAILY,,COAL TRANSPORT,,,,,,
TARGET_MANDATORY,FQ,2002,20,DAILY,,COAL TRANSPORT,,,,,,
TARGET_MANDATORY,UIQ,2009,7,DAILY,,COAL TRANSPORT,,,,,,
TARGET_MANDATORY,FQ,2009,70,DAILY,,COAL TRANSPORT,,,,,,
